"first","second","third","fourth","fifth","sixth","seventh","eighth","ninth"
51,90,42,248,187,204,122,31,13
80,183,71,474,304,203,127,49,3
60,149,82,340,216,259,127,79,18
83,164,73,499,225,308,117,31,13
138,205,143,706,309,347,148,71,3
17,32,25,90,69,78,36,12,7
39,105,68,360,293,554,299,255,107
1,1,1,30,5,13,0,2,0
9,36,23,205,135,279,123,54,15
18,37,35,165,111,149,48,21,3
37,111,68,381,224,535,314,264,117
61,158,102,432,332,641,401,421,187
2,23,14,119,62,58,19,2,2
35,97,34,229,140,156,63,25,2
28,83,50,284,198,242,146,51,14
24,34,25,156,135,261,200,122,61
43,116,63,397,225,405,171,66,16
77,114,102,376,311,366,165,61,21
79,146,57,441,315,287,133,65,24
42,69,30,273,154,166,54,30,8
40,103,55,354,143,448,183,125,40
36,82,46,270,159,403,142,135,34
41,88,34,243,156,317,120,76,14
35,88,43,300,229,172,83,33,12
39,66,42,272,206,212,132,24,9
79,178,82,542,238,483,208,153,42
5,25,16,80,51,132,66,41,21
61,182,90,568,323,375,130,79,14
138,305,120,680,430,445,186,108,20
44,157,65,567,323,319,96,59,19
63,117,51,400,221,196,55,31,7
20,28,12,33,32,30,14,8,2
0,0,0,9,6,8,9,0,0
45,88,52,281,148,165,45,11,3
97,138,76,308,172,222,76,39,12
16,44,40,188,142,232,147,79,22
38,83,49,266,187,333,196,167,85
8,37,26,136,100,138,60,39,5
10,34,12,111,109,186,129,92,32
61,122,66,439,213,336,134,78,19
14,20,19,61,34,51,18,15,8
44,138,78,380,261,492,307,378,133
